-0.6799	1.1158
1.2127	0.2932
2.0073	-0.0212
1.6815	2.6201
6.8204	1.3609
9.8368	2.2623
10.9412	1.1756
12.1555	0.2391
12.3490	3.1753
15.2063	1.8091
19.9238	3.3493
23.7195	3.3003
26.0811	-0.4717
29.0725	0.5194
28.2557	-1.0865
33.9377	1.4117
36.8605	-2.0519
40.8971	1.9470
41.9401	3.7068
46.3864	0.3988
46.9279	3.7788
51.1073	-0.0090
55.3630	1.0245
58.4735	0.9994
62.6725	4.7131
66.2303	3.0433
67.1630	2.4522
66.8896	2.8842
70.3049	0.7881
72.6621	0.5431
74.5287	-1.6764
78.5893	-3.5650
82.2017	-7.3742
86.3461	-8.3990
90.7577	-12.4825
92.9657	-7.2021
94.4624	-11.9833
100.3904	-15.2107
101.7387	-17.3651
104.8067	-17.9993
113.2072	-21.5688
117.4378	-26.4320
119.8567	-26.1913
124.8933	-28.1841
130.3727	-31.3679
134.8623	-32.3181
137.0674	-32.2476
143.2767	-37.8894
148.3586	-40.5373
151.5287	-45.0669
154.0145	-44.7877
160.0812	-47.3555
160.0415	-52.0916
166.4539	-54.2964
169.2962	-58.9851
174.0088	-63.0045
178.2745	-65.9589
181.5731	-69.1818
184.3888	-76.5575
186.4104	-80.2549
187.4865	-83.8439
193.9203	-91.8779
194.9848	-95.0205
197.3485	-97.7981
198.8711	-103.3488
200.1329	-109.0556
204.5891	-113.4982
208.9496	-116.5812
210.0978	-119.2274
212.2482	-124.4207
216.3153	-127.6757
219.2416	-135.0847
224.2408	-140.3075
225.5015	-148.3507
227.9152	-154.1473
229.2502	-160.4788
231.5566	-164.2409
233.2812	-169.9798
238.3823	-178.1419
245.2588	-183.2550
244.8122	-187.5011
250.6899	-194.9029
257.5684	-200.2459
257.1692	-204.6924
261.0877	-209.9522
265.8645	-214.4991
265.7470	-221.3496
269.5703	-226.3038
276.2973	-233.1961
281.0440	-236.6108
284.1014	-242.7092
286.5985	-249.6408
286.6615	-254.8146
292.2413	-261.0931
298.4482	-270.0733
301.0524	-275.8029
302.8457	-281.7344
305.1461	-291.6111
306.9672	-297.4992
312.3828	-304.7824
